Player,POS,Team,Receptions,Rec Yds,Rec TD
Michael Thomas,WR,NO,9,110,1
Adam Thielen,WR,MIN,10,105,1
Keenan Allen,WR,LAC,8,90,1
Antonio Brown,WR,PIT,7,100,1
Julio Jones,WR,ATL,7,100,1
JuJu Smith-Schuster,WR,PIT,7,95,1
Tyreek Hill,WR,KC,6,90,1
DeAndre Hopkins,WR,HOU,7,90,1
Amari Cooper,WR,DAL,7,85,1
Julian Edelman,WR,NE,7,85,1
T.Y. Hilton,WR,IND,5,85,1
Brandin Cooks,WR,LAR,6,80,1
Davante Adams,WR,GB,6,75,1
Corey Davis,WR,TEN,6,75,1
Stefon Diggs,WR,MIN,6,75,1
Tyler Lockett,WR,SEA,5,75,1
D.J. Moore,WR,CAR,6,65,1
Robert Woods,WR,LAR,6,75,1
Josh Gordon,WR,NE,5,70,1
Adam Humphries,WR,TB,6,70,1
Tyrell Williams,WR,LAC,4,70,1
Tyler Boyd,WR,CIN,5,65,1
Mike Evans,WR,TB,5,65,1
Kenny Golladay,WR,DET,4,65,1
DaeSean Hamilton,WR,DEN,5,65,1
Alshon Jeffery,WR,PHI,5,65,1
Kenny Stills,WR,MIA,5,65,1
Dede Westbrook,WR,JAX,4,65,1
Larry Fitzgerald,WR,ARI,5,60,1
Jarvis Landry,WR,CLE,5,60,1
Allen Robinson,WR,CHI,5,60,1
Chris Conley,WR,KC,4,55,1
Calvin Ridley,WR,ATL,4,45,1
Robby Anderson,WR,NYJ,4,65,0
Robert Foster,WR,BUF,5,65,0
Dante Pettis,WR,SF,5,65,0
Curtis Samuel,WR,CAR,4,55,0
Sterling Shepard,WR,NYG,6,60,0
Courtland Sutton,WR,DEN,4,60,0
Josh Doctson,WR,WAS,4,55,0
Zay Jones,WR,BUF,5,55,0
Randall Cobb,WR,GB,5,50,0
Taylor Gabriel,WR,CHI,4,45,0
Marquise Goodwin,WR,SF,3,45,0
Donte Moncrief,WR,JAX,4,45,0
Golden Tate,WR,PHI,4,40,0
Demaryius Thomas,WR,HOU,4,45,0
Doug Baldwin,WR,SEA,3,40,0
Antonio Callaway,WR,CLE,3,40,0
Jamison Crowder,WR,WAS,3,40,0
Michael Gallup,WR,DAL,3,40,0
Chris Godwin,WR,TB,3,40,0
Jermaine Kearse,WR,NYJ,3,40,0
David Moore,WR,SEA,3,40,0
Jordy Nelson,WR,OAK,3,40,0
DeVante Parker,WR,MIA,4,40,0
Josh Reynolds,WR,LAR,3,40,0
John Ross,WR,CIN,3,40,0
Mohamed Sanu,WR,ATL,3,40,0
Mike Williams,WR,LAC,3,40,0
Danny Amendola,WR,MIA,4,35,0
Marcell Ateman,WR,OAK,2,35,0
John Brown,WR,BAL,2,35,0
Michael Crabtree,WR,BAL,3,35,0
Keith Kirkwood,WR,NO,3,35,0
Zach Pascal,WR,IND,3,35,0
Willie Snead,WR,BAL,2,35,0
Ryan Switzer,WR,PIT,2,30,0
Cole Beasley,WR,DAL,3,30,0
Corey Coleman,WR,NYG,3,30,0
Devin Funchess,WR,CAR,2,30,0
Anthony Miller,WR,CHI,2,30,0
Tim Patrick,WR,DEN,2,30,0
Seth Roberts,WR,OAK,2,30,0
Demarcus Robinson,WR,KC,2,30,0
Tajae Sharpe,WR,TEN,2,30,0
Russell Shepard,WR,NYG,3,30,0
Taywan Taylor,WR,TEN,2,30,0
Laquon Treadwell,WR,MIN,3,30,0
Nelson Agholor,WR,PHI,2,25,0
Kendrick Bourne,WR,SF,2,25,0
T.J. Jones,WR,DET,2,25,0
Tre'Quan Smith,WR,NO,2,25,0
Marquez Valdes-Scantling,WR,GB,2,25,0
Travis Benjamin,WR,LAC,1,20,0
Keelan Cole,WR,JAX,2,20,0
Rashard Higgins,WR,CLE,2,20,0
Chris Hogan,WR,NE,2,20,0
Isaiah McKenzie,WR,BUF,2,20,0
J.J. Nelson,WR,ARI,2,20,0
Breshad Perriman,WR,CLE,2,20,0
Equanimeous St. Brown,WR,GB,2,20,0
Trent Sherfield,WR,ARI,1,15,0
Jarius Wright,WR,CAR,1,15,0
Ryan Grant,WR,IND,1,10,0
Jordan Matthews,WR,PHI,1,10,0
Brandon Powell,WR,DET,1,10,0
