Player,POS,Team,Receptions,Rec Yds,Rec TD
Julio Jones,WR,ATL,8,115,1
DeAndre Hopkins,WR,HOU,8,105,1
Michael Thomas,WR,NO,9,105,1
JuJu Smith-Schuster,WR,PIT,7,100,1
Adam Thielen,WR,MIN,10,100,1
Odell Beckham,WR,NYG,6,90,1
Antonio Brown,WR,PIT,7,90,1
Brandin Cooks,WR,LAR,7,85,1
Davante Adams,WR,GB,6,85,1
Keenan Allen,WR,LAC,7,85,1
Tyler Boyd,WR,CIN,7,85,1
John Brown,WR,BAL,5,85,1
Keelan Cole,WR,JAX,7,85,1
Tyreek Hill,WR,KC,5,85,1
Emmanuel Sanders,WR,DEN,7,85,1
Doug Baldwin,WR,SEA,7,80,1
Corey Davis,WR,TEN,6,80,1
Stefon Diggs,WR,MIN,6,80,1
Jarvis Landry,WR,CLE,6,80,1
Julian Edelman,WR,NE,6,75,1
Mike Williams,WR,LAC,6,75,1
Devin Funchess,WR,CAR,5,70,1
A.J. Green,WR,CIN,6,70,1
Alshon Jeffery,WR,PHI,5,70,1
Marvin Jones,WR,DET,5,70,1
Calvin Ridley,WR,ATL,6,70,1
Kenny Stills,WR,MIA,5,70,1
Robert Woods,WR,LAR,6,70,1
Quincy Enunwa,WR,NYJ,6,65,1
Tyler Lockett,WR,SEA,4,65,1
Will Fuller,WR,HOU,4,60,1
Jamison Crowder,WR,WAS,4,55,1
Dede Westbrook,WR,JAX,3,55,1
Kenny Golladay,WR,DET,4,60,0
Cooper Kupp,WR,LAR,5,60,0
Sterling Shepard,WR,NYG,6,60,0
Keke Coutee,WR,HOU,4,55,0
Jordy Nelson,WR,OAK,4,55,0
Paul Richardson,WR,WAS,4,55,0
Michael Crabtree,WR,BAL,4,50,0
Mohamed Sanu,WR,ATL,4,50,0
Tyrell Williams,WR,LAC,3,50,0
Nelson Agholor,WR,PHI,4,45,0
Cole Beasley,WR,DAL,4,45,0
Larry Fitzgerald,WR,ARI,4,45,0
Pierre Garcon,WR,SF,4,45,0
Ryan Grant,WR,IND,4,45,0
Chris Hogan,WR,NE,3,45,0
Christian Kirk,WR,ARI,4,45,0
Chester Rogers,WR,IND,4,45,0
Taywan Taylor,WR,TEN,3,45,0
Marquez Valdes-Scantling,WR,GB,4,45,0
Danny Amendola,WR,MIA,4,40,0
Donte Moncrief,WR,JAX,3,40,0
Torrey Smith,WR,CAR,3,40,0
Robby Anderson,WR,NYJ,2,35,0
Martavis Bryant,WR,OAK,2,35,0
Chris Conley,WR,KC,3,35,0
Michael Gallup,WR,DAL,2,35,0
Rashard Higgins,WR,CLE,3,35,0
Allen Hurns,WR,DAL,2,35,0
Zay Jones,WR,BUF,3,35,0
Cameron Meredith,WR,NO,2,35,0
Zach Pascal,WR,IND,3,35,0
Willie Snead,WR,BAL,2,35,0
Courtland Sutton,WR,DEN,3,35,0
Albert Wilson,WR,MIA,2,35,0
Antonio Callaway,WR,CLE,2,30,0
Phillip Dorsett,WR,NE,2,30,0
Jarius Wright,WR,CAR,3,30,0
Laquon Treadwell,WR,MIN,2,25,0
Jermaine Kearse,WR,NYJ,2,20,0
Tajae Sharpe,WR,TEN,1,20,0
Trent Taylor,WR,SF,2,20,0
James Washington,WR,PIT,1,20,0
Tavon Austin,WR,DAL,1,10,0
Ryan Switzer,WR,PIT,1,10,0
Chad Williams,WR,ARI,1,15,0
D.J. Chark,WR,JAX,1,10,0
Jakeem Grant,WR,MIA,1,10,0
J.J. Nelson,WR,ARI,1,10,0
Demarcus Robinson,WR,KC,1,10,0
Tre'Quan Smith,WR,NO,1,10,0
Sammy Watkins,WR,KC,1,10,0
