Player,POS,Team,Receptions,Rec Yds,Rec TD
Travis Kelce,TE,KC,7,75,1
Jared Cook,TE,OAK,6,65,1
George Kittle,TE,SF,6,65,1
Eric Ebron,TE,IND,4,50,1
Chris Herndon,TE,NYJ,4,50,1
David Njoku,TE,CLE,4,50,1
Evan Engram,TE,NYG,5,55,0
Zach Ertz,TE,PHI,5,55,0
Rob Gronkowski,TE,NE,3,50,0
Ian Thomas,TE,CAR,4,45,0
Trey Burton,TE,CHI,4,40,0
Gerald Everett,TE,LAR,4,40,0
Ryan Griffin,TE,HOU,3,40,0
Jimmy Graham,TE,GB,3,35,0
Austin Hooper,TE,ATL,3,35,0
Kyle Rudolph,TE,MIN,3,35,0
Jeremy Sprinkle,TE,WAS,3,35,0
C.J. Uzomah,TE,CIN,3,35,0
Blake Jarwin,TE,DAL,3,30,0
Matt LaCosse,TE,DEN,3,30,0
Vance McDonald,TE,PIT,3,30,0
Ricky Seals-Jones,TE,ARI,3,30,0
Cameron Brate,TE,TB,2,25,0
Anthony Firkser,TE,TEN,2,25,0
Benjamin Watson,TE,NO,2,25,0
Mark Andrews,TE,BAL,2,20,0
Ed Dickson,TE,SEA,2,20,0
Dallas Goedert,TE,PHI,2,20,0
James O'Shaughnessy,TE,JAX,2,20,0
Nick Vannett,TE,SEA,2,20,0
Antonio Gates,TE,LAC,1,10,0
Mike Gesicki,TE,MIA,1,10,0
Virgil Green,TE,LAC,1,10,0
Demetrius Harris,TE,KC,1,10,0
Tyler Higbee,TE,LAR,1,10,0
Hayden Hurst,TE,BAL,1,10,0
Jesse James,TE,PIT,1,10,0
Lance Kendricks,TE,GB,1,10,0
Levine Toilolo,TE,DET,1,10,0
Luke Willson,TE,DET,1,10,0
