Player,POS,Team,Receptions,Rec Yds,Rec TD
Julio Jones,WR,ATL,8,110,1
Tyreek Hill,WR,KC,7,105,1
Adam Thielen,WR,MIN,8,105,1
Davante Adams,WR,GB,7,100,1
Antonio Brown,WR,PIT,7,100,1
Odell Beckham,WR,NYG,7,95,1
A.J. Green,WR,CIN,8,95,1
Mike Evans,WR,TB,7,90,1
DeAndre Hopkins,WR,HOU,7,90,1
Julian Edelman,WR,NE,7,85,1
Jarvis Landry,WR,CLE,7,85,1
Keenan Allen,WR,LAC,7,80,1
Emmanuel Sanders,WR,DEN,7,80,1
JuJu Smith-Schuster,WR,PIT,6,80,1
Robert Woods,WR,LAR,6,80,1
Doug Baldwin,WR,SEA,7,75,1
John Brown,WR,BAL,5,75,1
Keelan Cole,WR,JAX,6,75,1
Brandin Cooks,WR,LAR,6,70,1
Stefon Diggs,WR,MIN,6,75,1
Will Fuller,WR,HOU,5,75,1
Corey Davis,WR,TEN,5,65,1
Quincy Enunwa,WR,NYJ,6,65,1
DeSean Jackson,WR,TB,4,65,1
Alshon Jeffery,WR,PHI,5,65,1
Calvin Ridley,WR,ATL,6,65,1
Devin Funchess,WR,CAR,4,60,1
Cooper Kupp,WR,LAR,5,60,1
Kenny Stills,WR,MIA,4,60,1
Christian Kirk,WR,ARI,4,55,1
Mohamed Sanu,WR,ATL,4,55,1
Mike Williams,WR,LAC,4,55,1
Donte Moncrief,WR,JAX,4,50,1
Jordy Nelson,WR,OAK,4,50,1
Courtland Sutton,WR,DEN,3,50,1
Tyler Boyd,WR,CIN,6,75,0
Ryan Grant,WR,IND,5,65,0
Allen Robinson,WR,CHI,5,65,0
Chester Rogers,WR,IND,7,60,0
Sterling Shepard,WR,NYG,6,60,0
Tyler Lockett,WR,SEA,4,55,0
Keke Coutee,WR,HOU,4,50,0
Dede Westbrook,WR,JAX,3,50,0
Antonio Callaway,WR,CLE,4,45,0
Michael Crabtree,WR,BAL,4,45,0
Josh Doctson,WR,WAS,3,45,0
Marquise Goodwin,WR,SF,4,45,0
Tyrell Williams,WR,LAC,3,45,0
Nelson Agholor,WR,PHI,4,40,0
Robby Anderson,WR,NYJ,3,40,0
Cole Beasley,WR,DAL,4,40,0
Larry Fitzgerald,WR,ARI,3,40,0
Pierre Garcon,WR,SF,3,40,0
Chris Hogan,WR,NE,3,40,0
Taywan Taylor,WR,TEN,3,40,0
Marquez Valdes-Scantling,WR,GB,3,40,0
Martavis Bryant,WR,OAK,2,35,0
Taylor Gabriel,WR,CHI,3,35,0
Michael Gallup,WR,DAL,2,35,0
Chris Godwin,WR,TB,3,35,0
Josh Gordon,WR,NE,3,35,0
Adam Humphries,WR,TB,3,35,0
Allen Hurns,WR,DAL,2,35,0
D.J. Moore,WR,CAR,3,35,0
David Moore,WR,SEA,3,35,0
Sammy Watkins,WR,KC,3,35,0
Danny Amendola,WR,MIA,3,30,0
Phillip Dorsett,WR,NE,2,30,0
Maurice Harris,WR,WAS,2,30,0
Zay Jones,WR,BUF,3,30,0
Anthony Miller,WR,CHI,2,30,0
Zach Pascal,WR,IND,2,30,0
Paul Richardson,WR,WAS,2,30,0
Tajae Sharpe,WR,TEN,2,30,0
Torrey Smith,WR,CAR,2,30,0
Willie Snead,WR,BAL,2,30,0
Albert Wilson,WR,MIA,2,30,0
Jarius Wright,WR,CAR,3,30,0
Jermaine Kearse,WR,NYJ,2,25,0
Rod Streater,WR,CLE,2,25,0
Laquon Treadwell,WR,MIN,2,20,0
James Washington,WR,PIT,1,20,0
Tavon Austin,WR,DAL,1,10,0
Chris Conley,WR,KC,1,15,0
Ryan Switzer,WR,PIT,1,10,0
D.J. Chark,WR,JAX,1,10,0
Jakeem Grant,WR,MIA,1,10,0
J.J. Nelson,WR,ARI,1,10,0
Demarcus Robinson,WR,KC,1,10,0
Chad Williams,WR,ARI,0,5,0
