Player,POS,Team,Receptions,Rec Yds,Rec TD
Zach Ertz,TE,PHI,7,75,1
George Kittle,TE,SF,7,75,1
Travis Kelce,TE,KC,6,70,1
Jared Cook,TE,OAK,6,65,1
Evan Engram,TE,NYG,5,60,1
Eric Ebron,TE,IND,4,50,1
Kyle Rudolph,TE,MIN,4,45,1
Chris Herndon,TE,NYJ,4,40,1
David Njoku,TE,CLE,4,40,1
C.J. Uzomah,TE,CIN,4,40,1
Rob Gronkowski,TE,NE,3,45,0
Ian Thomas,TE,CAR,4,40,0
Gerald Everett,TE,LAR,3,35,0
Jimmy Graham,TE,GB,3,35,0
Blake Jarwin,TE,DAL,3,35,0
Jeremy Sprinkle,TE,WAS,3,35,0
Trey Burton,TE,CHI,3,30,0
Austin Hooper,TE,ATL,3,30,0
Vance McDonald,TE,PIT,3,30,0
Mark Andrews,TE,BAL,2,25,0
Anthony Firkser,TE,TEN,2,25,0
Ryan Griffin,TE,HOU,2,25,0
Brian Parker,TE,DEN,2,25,0
Dan Arnold,TE,NO,2,20,0
Cameron Brate,TE,TB,2,20,0
Ed Dickson,TE,SEA,2,20,0
Dallas Goedert,TE,PHI,2,20,0
James O'Shaughnessy,TE,JAX,2,20,0
Nick Vannett,TE,SEA,2,20,0
Jason Croom,TE,BUF,1,15,0
Antonio Gates,TE,LAC,1,10,0
Mike Gesicki,TE,MIA,1,10,0
Virgil Green,TE,LAC,1,10,0
Demetrius Harris,TE,KC,1,10,0
Tyler Higbee,TE,LAR,1,10,0
Hayden Hurst,TE,BAL,1,10,0
Jesse James,TE,PIT,1,10,0
Lance Kendricks,TE,GB,1,10,0
Levine Toilolo,TE,DET,1,10,0
Benjamin Watson,TE,NO,1,10,0
