Player,POS,Team,Receptions,Rec Yds,Rec TD
George Kittle,TE,SF,7,80,1
Zach Ertz,TE,PHI,7,75,1
Jack Doyle,TE,IND,4,55,1
Trey Burton,TE,CHI,4,45,1
David Njoku,TE,CLE,4,45,1
Jonnu Smith,TE,TEN,4,45,1
Jared Cook,TE,OAK,4,40,1
Cameron Brate,TE,TB,3,35,1
Eric Ebron,TE,IND,3,35,1
Rob Gronkowski,TE,NE,4,55,0
Greg Olsen,TE,CAR,4,50,0
Jordan Reed,TE,WAS,6,50,0
Evan Engram,TE,NYG,4,45,0
Austin Hooper,TE,ATL,4,45,0
Nick Vannett,TE,SEA,4,45,0
Chris Herndon,TE,NYJ,4,40,0
Jeff Heuerman,TE,DEN,4,40,0
Vance McDonald,TE,PIT,4,40,0
Kyle Rudolph,TE,MIN,4,40,0
James O'Shaughnessy,TE,JAX,3,35,0
C.J. Uzomah,TE,CIN,3,35,0
Jimmy Graham,TE,GB,3,30,0
Ricky Seals-Jones,TE,ARI,3,30,0
Logan Thomas,TE,BUF,3,30,0
Benjamin Watson,TE,NO,2,30,0
Vernon Davis,TE,WAS,2,25,0
Mike Gesicki,TE,MIA,2,25,0
Ryan Griffin,TE,HOU,2,25,0
Antonio Gates,TE,LAC,2,20,0
Blake Jarwin,TE,DAL,2,20,0
Dallas Goedert,TE,PHI,1,15,0
Jesse James,TE,PIT,1,15,0
Nick Boyle,TE,BAL,1,10,0
Ed Dickson,TE,SEA,1,10,0
Rico Gathers,TE,DAL,1,10,0
Virgil Green,TE,LAC,1,10,0
Hayden Hurst,TE,BAL,1,10,0
Lance Kendricks,TE,GB,1,10,0
Michael Roberts,TE,DET,1,10,0
Luke Willson,TE,DET,1,10,0
