Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"Tom Brady, NE",36.1,23.8,286.0,2.2,0.4,105.7,2.5,4.6,1.84,0.1,0,0.0,0.0,0.00,0.0,0.1,23,QB
"Drew Brees, NO",42.0,30.2,323.0,2.0,1.1,99.0,1.4,2.0,1.43,0.1,0,0.0,0.0,0.00,0.0,0.3,21,QB
"Cam Newton, CAR",33.3,19.9,237.0,1.8,0.9,88.3,5.8,27.1,4.67,0.4,0,0.0,0.0,0.00,0.0,0.3,21,QB
"Aaron Rodgers, GB",36.1,23.1,230.0,1.9,0.6,92.6,3.7,22.6,6.11,0.2,0,0.0,0.0,0.00,0.0,0.3,21,QB
"Derek Carr, OAK",38.9,24.5,263.0,2.2,0.7,94.1,2.4,5.7,2.38,0.0,0,0.0,0.0,0.00,0.0,0.2,21,QB
"Philip Rivers, LAC",38.4,24.9,294.0,2.1,1.2,93.2,1.1,3.4,3.09,0.0,0,0.0,0.0,0.00,0.0,0.3,20,QB
"Dak Prescott, DAL",31.4,23.4,233.0,1.6,0.4,106.8,3.5,16.4,4.69,0.3,0,0.0,0.0,0.00,0.0,0.2,20,QB
"Andrew Luck, IND",37.4,22.8,272.0,1.8,1.3,84.7,4.1,23.4,5.71,0.1,0,0.0,0.0,0.00,0.0,0.3,20,QB
"Jameis Winston, TB",34.8,22.0,271.0,1.7,0.9,92.7,3.2,11.6,3.62,0.2,0,0.0,0.0,0.00,0.0,0.3,20,QB
"Marcus Mariota, TEN",30.0,19.1,209.0,1.8,0.7,94.4,3.6,20.4,5.67,0.1,0,0.0,0.0,0.00,0.0,0.2,19,QB
"Matt Ryan, ATL",35.2,24.2,279.0,1.7,0.9,97.8,2.1,6.1,2.90,0.0,0,0.0,0.0,0.00,0.0,0.3,18,QB
"Kirk Cousins, MIN",37.2,25.1,276.0,1.5,1.0,91.5,2.0,4.7,2.35,0.2,0,0.0,0.0,0.00,0.0,0.2,18,QB
"Ben Roethlisberger, PIT",36.9,24.3,261.0,1.8,0.9,92.5,1.3,2.0,1.54,0.0,0,0.0,0.0,0.00,0.0,0.2,18,QB
"Russell Wilson, SEA",33.8,21.6,246.0,1.7,1.1,88.9,3.7,17.3,4.68,0.1,0,0.0,0.0,0.00,0.0,0.1,18,QB
"Tyrod Taylor, CLE",28.2,17.1,181.0,1.4,0.7,85.6,5.4,33.4,6.19,0.2,0,0.0,0.0,0.00,0.0,0.2,17,QB
"Blake Bortles, JAC",37.9,20.6,221.0,1.5,1.3,70.6,3.6,23.2,6.44,0.2,0,0.0,0.0,0.00,0.0,0.2,17,QB
"Eli Manning, NYG",35.8,22.0,254.0,1.6,1.0,86.1,1.3,1.8,1.38,0.0,0,0.0,0.0,0.00,0.0,0.3,17,QB
"Matthew Stafford, DET",36.1,25.2,241.0,1.3,0.7,92.0,2.6,12.6,4.85,0.1,0,0.0,0.0,0.00,0.0,0.2,16,QB
"Joe Flacco, BAL",41.0,26.5,255.0,1.2,1.1,80.4,1.7,3.5,2.06,0.1,0,0.0,0.0,0.00,0.0,0.2,15,QB
"Robert Griffin III, BAL",34.0,18.5,208.0,1.1,1.4,66.5,5.0,22.1,4.42,0.3,0,0.0,0.0,0.00,0.0,0.3,15,QB
"Colin Kaepernick, SF",30.7,18.1,167.0,1.0,0.7,75.2,6.6,40.7,6.17,0.1,0,0.0,0.0,0.00,0.0,0.2,14,QB
"Matt Moore, MIA",30.8,19.3,233.0,1.3,1.0,86.4,1.3,5.7,4.38,0.0,0,0.0,0.0,0.00,0.0,0.1,14,QB
"Andy Dalton, CIN",33.3,20.4,212.0,1.0,0.7,80.9,3.3,11.6,3.52,0.2,0,0.0,0.0,0.00,0.0,0.2,14,QB
"Sam Bradford, ARI",33.2,22.3,229.0,1.2,0.9,87.6,1.4,2.4,1.71,0.0,0,0.0,0.0,0.00,0.0,0.2,14,QB
"Carson Wentz, PHI",39.3,23.3,230.0,1.2,1.3,72.3,3.0,7.2,2.40,0.1,0,0.0,0.0,0.00,0.0,0.3,13,QB
"Jared Goff, LAR",30.4,18.0,208.0,1.2,1.1,78.0,1.6,5.4,3.38,0.1,0,0.0,0.0,0.00,0.0,0.2,13,QB
"Carson Palmer, ARI",37.3,22.1,233.0,1.1,1.0,76.1,1.1,2.5,2.27,0.0,0,0.0,0.0,0.00,0.0,0.2,13,QB
"Trevor Siemian, MIN",35.9,20.4,225.0,1.1,1.1,73.0,2.2,5.7,2.59,0.0,0,0.0,0.0,0.00,0.0,0.2,13,QB
"Matt Barkley, BUF",33.4,20.6,231.0,1.2,1.5,75.6,1.6,6.2,3.88,0.0,0,0.0,0.0,0.00,0.0,0.2,12,QB
