Player,POS,Team,Receptions,Rec Yds,Rec TD
Travis Kelce,TE,KC,7,80,1
Zach Ertz,TE,PHI,7,70,1
George Kittle,TE,SF,6,70,1
Jared Cook,TE,OAK,6,65,1
Jimmy Graham,TE,GB,5,60,1
David Njoku,TE,CLE,5,60,1
Eric Ebron,TE,IND,4,45,1
Vance McDonald,TE,PIT,4,40,1
Trey Burton,TE,CHI,5,55,0
Rob Gronkowski,TE,NE,4,55,0
Jordan Reed,TE,WAS,6,50,0
O.J. Howard,TE,TB,4,45,0
Kyle Rudolph,TE,MIN,4,45,0
Jack Doyle,TE,IND,3,40,0
Greg Olsen,TE,CAR,4,40,0
C.J. Uzomah,TE,CIN,4,40,0
Ricky Seals-Jones,TE,ARI,3,35,0
Charles Clay,TE,BUF,3,30,0
Evan Engram,TE,NYG,3,30,0
Chris Herndon,TE,NYJ,3,30,0
Benjamin Watson,TE,NO,2,30,0
Vernon Davis,TE,WAS,2,25,0
Ed Dickson,TE,SEA,2,25,0
Gerald Everett,TE,LAR,2,25,0
Mike Gesicki,TE,MIA,2,25,0
Dallas Goedert,TE,PHI,2,25,0
Jeff Heuerman,TE,DEN,2,25,0
Jordan Akins,TE,HOU,2,20,0
Nick Boyle,TE,BAL,2,20,0
Nick Vannett,TE,SEA,2,20,0
Blake Bell,TE,JAX,1,10,0
Cameron Brate,TE,TB,1,10,0
Garrett Celek,TE,SF,1,10,0
Demetrius Harris,TE,KC,1,10,0
Tyler Higbee,TE,LAR,1,10,0
Hayden Hurst,TE,BAL,1,10,0
Jesse James,TE,PIT,1,10,0
Lance Kendricks,TE,GB,1,10,0
Luke Willson,TE,DET,1,10,0
