Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Jake Elliott, PHI",2.5,3.1,0,3.1,3.1,0.0,11,K
"Chris Boswell, PIT",2.5,2.8,0,3.1,3.1,0.0,10,K
"Stephen Gostkowski, NE",2.4,2.7,0,3.0,3.0,0.0,10,K
"Matt Bryant, ATL",2.1,2.4,0,3.1,3.1,0.0,9,K
"Greg Zuerlein, LAR",2.2,2.4,0,2.6,2.6,0.0,9,K
"Harrison Butker, KC",2.2,2.4,0,2.7,2.7,0.0,9,K
"Giorgio Tavecchio, ATL",2.0,2.3,0,2.9,2.9,0.0,9,K
"Justin Tucker, BAL",2.1,2.4,0,2.6,2.6,0.0,9,K
"Ryan Succop, TEN",1.9,2.2,0,2.5,2.5,0.0,8,K
"Blair Walsh, SEA",1.9,2.4,0,2.4,2.4,0.0,8,K
"Adam Vinatieri, IND",1.8,1.9,0,2.4,2.4,0.0,8,K
"Brandon McManus, DEN",1.9,2.4,0,2.2,2.2,0.0,8,K
"Matt Prater, DET",1.8,2.0,0,2.0,2.0,0.0,7,K
"Kai Forbath, JAC",1.8,2.1,0,2.1,2.1,0.0,7,K
"Graham Gano, CAR",1.8,2.0,0,2.3,2.3,0.0,7,K
"Wil Lutz, NO",1.7,2.0,0,2.5,2.5,0.0,7,K
"Nick Rose, LAC",1.8,2.1,0,2.2,2.2,0.0,7,K
"Dan Bailey, MIN",1.6,1.8,0,2.4,2.4,0.0,7,K
"Randy Bullock, CIN",1.5,1.8,0,2.5,2.5,0.0,7,K
"Aldrick Rosas, NYG",1.5,2.1,0,2.0,2.0,0.0,6,K
"Nick Novak, LAC",1.4,1.8,0,2.2,2.2,0.0,6,K
"Josh Lambo, JAC",1.5,1.8,0,1.9,1.9,0.0,6,K
"Patrick Murray, TB",1.4,1.8,0,1.9,1.9,0.0,6,K
"Chandler Catanzaro, CAR",1.4,1.7,0,1.9,1.9,0.0,6,K
"Stephen Hauschka, BUF",1.3,1.4,0,1.6,1.6,0.0,5,K
"Phil Dawson, ARI",1.2,1.6,0,1.7,1.7,0.0,5,K
"Robbie Gould, SF",1.2,1.4,0,1.6,1.6,0.0,5,K
"Ka'imi Fairbairn, HOU",1.2,1.4,0,1.5,1.5,0.0,5,K
"Cody Parkey, CHI",1.1,1.2,0,1.5,1.5,0.0,4,K
"Mason Crosby, GB",1.0,1.2,0,1.4,1.4,0.0,4,K
"Zane Gonzalez, ARI",1.0,1.4,0,1.3,1.3,0.0,4,K
"Cairo Santos, TB",0.9,1.0,0,1.3,1.3,0.0,4,K
"Mike Meyer, JAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Folk, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Connor Barth, CHI",0.0,0.0,0,0.0,0.0,0.0,0,K
"Sebastian Janikowski, SEA",0.0,0.0,0,0.0,0.0,0.0,0,K
"Andrew Franks, MIA",0.0,0.0,0,0.0,0.0,0.0,0,K
"Zach Hocker, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Mike Nugent, OAK",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jason Myers, NYJ",0.0,0.0,0,0.0,0.0,0.0,0,K
"Younghoe Koo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jon Brown, CIN",0.0,0.0,0,0.0,0.0,0.0,0,K
"Roberto Aguayo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Marshall Koehn, NYG",0.0,0.0,0,0.0,0.0,0.0,0,K
