Player,POS,Team,Receptions,Rec Yds,Rec TD
Julio Jones,WR,ATL,8,110,1
Odell Beckham,WR,NYG,7,105,1
DeAndre Hopkins,WR,HOU,8,100,1
Adam Thielen,WR,MIN,10,100,1
Antonio Brown,WR,PIT,7,95,1
Michael Thomas,WR,NO,8,90,1
Mike Evans,WR,TB,7,85,1
Davante Adams,WR,GB,6,80,1
Julian Edelman,WR,NE,6,80,1
T.Y. Hilton,WR,IND,5,80,1
Keenan Allen,WR,LAC,7,75,1
Stefon Diggs,WR,MIN,6,75,1
Kenny Golladay,WR,DET,5,75,1
Alshon Jeffery,WR,PHI,5,75,1
JuJu Smith-Schuster,WR,PIT,6,75,1
Tyler Boyd,WR,CIN,6,70,1
Amari Cooper,WR,DAL,6,70,1
Josh Gordon,WR,NE,5,70,1
D.J. Moore,WR,CAR,6,65,1
Danny Amendola,WR,MIA,7,65,1
Jarvis Landry,WR,CLE,5,65,1
Tyler Lockett,WR,SEA,4,65,1
Marquez Valdes-Scantling,WR,GB,5,65,1
Calvin Ridley,WR,ATL,5,60,1
Courtland Sutton,WR,DEN,4,60,1
Donte Moncrief,WR,JAX,4,50,1
Tyrell Williams,WR,LAC,3,50,1
Michael Gallup,WR,DAL,3,45,1
Emmanuel Sanders,WR,DEN,6,80,0
Corey Davis,WR,TEN,5,70,0
DeSean Jackson,WR,TB,4,60,0
Larry Fitzgerald,WR,ARI,6,65,0
DeVante Parker,WR,MIA,5,60,0
Keke Coutee,WR,HOU,4,55,0
Curtis Samuel,WR,CAR,3,50,0
Josh Doctson,WR,WAS,3,50,0
Adam Humphries,WR,TB,4,50,0
Zay Jones,WR,BUF,4,50,0
Anthony Miller,WR,CHI,4,50,0
Allen Robinson,WR,CHI,4,50,0
John Ross,WR,CIN,4,50,0
Sterling Shepard,WR,NYG,5,50,0
Nelson Agholor,WR,PHI,4,45,0
Quincy Enunwa,WR,NYJ,4,45,0
Taylor Gabriel,WR,CHI,4,45,0
Dontrelle Inman,WR,IND,4,45,0
David Moore,WR,SEA,4,45,0
Dante Pettis,WR,SF,4,45,0
Trey Quinn,WR,WAS,3,45,0
Tajae Sharpe,WR,TEN,3,45,0
Golden Tate,WR,PHI,4,40,0
Kendrick Bourne,WR,SF,3,40,0
John Brown,WR,BAL,3,40,0
Antonio Callaway,WR,CLE,3,40,0
Michael Crabtree,WR,BAL,3,40,0
Bruce Ellington,WR,DET,4,40,0
Jermaine Kearse,WR,NYJ,3,40,0
Christian Kirk,WR,ARI,3,40,0
Seth Roberts,WR,OAK,3,40,0
Mohamed Sanu,WR,ATL,3,40,0
Willie Snead,WR,BAL,3,40,0
Dede Westbrook,WR,JAX,2,40,0
Chris Godwin,WR,TB,3,35,0
Kenny Stills,WR,MIA,3,35,0
Demaryius Thomas,WR,HOU,3,35,0
Mike Williams,WR,LAC,3,35,0
Marcell Ateman,WR,OAK,2,30,0
Doug Baldwin,WR,SEA,3,30,0
Cole Beasley,WR,DAL,3,30,0
T.J. Jones,WR,DET,3,30,0
Laquon Treadwell,WR,MIN,3,30,0
Chris Hogan,WR,NE,2,25,0
Torrey Smith,WR,CAR,2,25,0
Ryan Switzer,WR,PIT,1,20,0
Ryan Grant,WR,IND,2,20,0
Maurice Harris,WR,WAS,2,20,0
Rashard Higgins,WR,CLE,2,20,0
J.J. Nelson,WR,ARI,2,20,0
Breshad Perriman,WR,CLE,2,20,0
Equanimeous St. Brown,WR,GB,2,20,0
Jarius Wright,WR,CAR,2,20,0
Robby Anderson,WR,NYJ,1,10,0
Travis Benjamin,WR,LAC,1,10,0
Keelan Cole,WR,JAX,1,10,0
Alex Erickson,WR,CIN,1,10,0
Dwayne Harris,WR,OAK,1,10,0
Allen Hurns,WR,DAL,1,10,0
Jordan Matthews,WR,PHI,1,10,0
