Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Aaron Rodgers,GB,285.0,2.4,0.6095812118640667,16.753772020943757,0.11,0,0,0,0.1
Alex Smith,WAS,253.1197833550407,1.3220673751998824,0.65,18.132083826783486,0.16503308818987647,0,0,0,0.03
Andrew Luck,IND,273.25033641615346,2.1551898236921736,0.8136166682004488,12.07278906386739,0.07159800158417204,0,0,0,0.16
Andy Dalton,CIN,264.25431324508565,1.8606925086604815,0.9312464669110225,10.0,0.08648996123157046,0,0,0,0.0
Baker Mayfield,CLE,265.49264845647434,1.7050232264288478,0.8976447746053573,12.711648798502116,0.2,0,0,0,0.13
Ben Roethlisberger,PIT,294.36450016060803,2.2,0.9,7.37,0.1,0,0,0,0.19
Blaine Gabbert,TEN,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Blake Bortles,JAX,253.9903547081565,1.543666176251505,0.8241542812640927,23.766831498777364,0.16802977157529328,0,0,0,0.09
Brett Hundley,SEA,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Brian Hoyer,NE,0.0,0.0,0.0,0.0,0.0,0,0,0,0.01
Brock Osweiler,MIA,225.52779210671773,1.3749405813695805,0.9290890417694143,7.004140697434918,0.1,0,0,0,0.07
C.J. Beathard,SF,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Cam Newton,CAR,255.65089523764098,1.5993888399539484,0.9009730020135381,40.0,0.28205244249958417,0,0,0,0.13
Carson Wentz,PHI,289.15092923020734,1.8438081084520253,0.79,20.603188345439122,0.2,0,0,0,0.22
Chad Henne,KC,0.0,0.0,0.0,0.0,0.0,0,0,0,0.02
Chase Daniel,CHI,0.0,0.0,0.0,0.0,0.0,0,0,0,0.02
Cody Kessler,JAX,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Colt McCoy,WAS,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Cooper Rush,DAL,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Dak Prescott,DAL,226.01304241604433,1.1347977208575624,0.88,21.37526775212217,0.1572762606721372,0,0,0,0.06
David Fales,MIA,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Davis Webb,NYJ,0.0,0.0,0.0,0.0,0.0,0,0,0,0.04
DeShone Kizer,GB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Derek Carr,OAK,236.93952465170676,1.3441822793655378,0.8,8.605688668488606,0.1,0,0,0,0.16
Drew Brees,NO,280.69578888665234,2.3,0.8,5.050143138973953,0.14787355359898416,0,0,0,0.03
Eli Manning,NYG,271.88977174622954,1.4930398799462723,0.6631156442469562,0.0,0.0,0,0,0,0.06
Geno Smith,LAC,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Jacoby Brissett,IND,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Jameis Winston,TB,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Jared Goff,LAR,288.88802229506143,2.1,0.7,13.877700075767082,0.2,0,0,0,0.09
Jeff Driskel,CIN,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Josh McCown,NYJ,206.3,1.6269823510535142,0.9027938798889575,11.199186238132523,0.09824518766519463,0,0,0,0.09
Josh Rosen,ARI,228.29057095361205,1.3509681755049652,1.100842633720476,11.116444768167455,0.1,0,0,0,0.1
Joshua Dobbs,PIT,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Marcus Mariota,TEN,223.6636621582986,1.2193468170268882,0.8006097672445602,25.0,0.2046880001534707,0,0,0,0.03
Matt Barkley,BUF,205.17713259357598,0.7310466219919239,1.3730503778880538,5.580550144143196,0.1,0,0,0,0.07
Matt Cassel,DET,0.0,0.0,0.0,0.0,0.0,0,0,0,0.05
Matt Ryan,ATL,313.76469318750566,2.1985387913449204,0.823253716389476,7.984955387868304,0.08494266797781852,0,0,0,0.09
Matt Schaub,ATL,0.0,0.0,0.0,0.0,0.0,0,0,0,0.1
Matthew Stafford,DET,255.0,1.5218823146951421,0.8,8.27,0.06293255373327288,0,0,0,0.03
Mike Glennon,ARI,0.0,0.0,0.0,0.0,0.0,0,0,0,0.06
Mitchell Trubisky,CHI,243.80012213963786,2.0095895355762714,0.6,33.977806741945656,0.1813375004464169,0,0,0,0.07
Nathan Peterman,OAK,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Nick Foles,PHI,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Nick Mullens,SF,253.0795362761493,1.5743027751600267,0.9398990787904614,9.979403708091523,0.12,0,0,0,0.08
Patrick Mahomes,KC,328.2822591194922,2.8416729768437445,0.9,13.829623993324498,0.2,0,0,0,0.06
Philip Rivers,LAC,268.87456843246116,2.6,0.6093963273981938,0.0,0.1,0,0,0,0.06
Russell Wilson,SEA,258.61477373717537,1.8250660112649482,0.7,25.91771864350573,0.14,0,0,0,0.09
Ryan Fitzpatrick,TB,311.875677799454,1.9431563516670942,0.9,16.352284932464322,0.16527832434582834,0,0,0,0.0
Sean Mannion,LAR,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Taylor Heinicke,CAR,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Taysom Hill,NO,0.0,0.0,0.0,16.15369446216298,0.12554525911031097,0,0,0,0.03
Teddy Bridgewater,NO,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03
Tom Brady,NE,272.1442989180947,1.9682609450926467,0.6761959042697837,4.078489091783501,0.09569617888097462,0,0,0,0.13
Tyrod Taylor,CLE,0.0,0.0,0.0,0.0,0.0,0,0,0,0.02
