Player,POS,Team,Receptions,Rec Yds,Rec TD
Tyreek Hill,WR,KC,6,100,1
Julio Jones,WR,ATL,7,105,1
JuJu Smith-Schuster,WR,PIT,7,100,1
Keenan Allen,WR,LAC,7,85,1
Mike Evans,WR,TB,8,95,1
T.Y. Hilton,WR,IND,6,95,1
DeAndre Hopkins,WR,HOU,7,90,1
Robert Woods,WR,LAR,7,85,1
Julian Edelman,WR,NE,7,80,1
Alshon Jeffery,WR,PHI,5,70,1
Doug Baldwin,WR,SEA,6,65,1
Amari Cooper,WR,DAL,5,65,1
Stefon Diggs,WR,MIN,5,65,1
Robert Foster,WR,BUF,5,65,1
Adam Humphries,WR,TB,6,65,1
Curtis Samuel,WR,CAR,3,50,1
Sterling Shepard,WR,NYG,6,65,1
Dede Westbrook,WR,JAX,4,65,1
Tyler Lockett,WR,SEA,4,60,1
Jordy Nelson,WR,OAK,5,60,1
Courtland Sutton,WR,DEN,4,60,1
Taylor Gabriel,WR,CHI,5,55,1
Mohamed Sanu,WR,ATL,4,55,1
Mike Williams,WR,LAC,4,55,1
Robby Anderson,WR,NYJ,5,70,0
Chris Godwin,WR,TB,5,65,0
Calvin Ridley,WR,ATL,6,65,0
Adam Thielen,WR,MIN,6,65,0
Brandin Cooks,WR,LAR,5,60,0
Larry Fitzgerald,WR,ARI,5,60,0
DaeSean Hamilton,WR,DEN,4,60,0
Corey Davis,WR,TEN,4,55,0
Keith Kirkwood,WR,NO,5,55,0
Zay Jones,WR,BUF,4,50,0
Jarvis Landry,WR,CLE,4,50,0
Anthony Miller,WR,CHI,4,50,0
Kendrick Bourne,WR,SF,4,45,0
Jamison Crowder,WR,WAS,4,45,0
Josh Doctson,WR,WAS,4,45,0
Donte Moncrief,WR,JAX,4,45,0
D.J. Moore,WR,CAR,3,35,0
Marquez Valdes-Scantling,WR,GB,4,45,0
Cole Beasley,WR,DAL,4,40,0
Michael Gallup,WR,DAL,3,40,0
Isaiah McKenzie,WR,BUF,3,30,0
Golden Tate,WR,PHI,3,35,0
Tyrell Williams,WR,LAC,3,40,0
Danny Amendola,WR,MIA,4,35,0
John Brown,WR,BAL,2,35,0
Antonio Callaway,WR,CLE,3,35,0
DeAndre Carter,WR,HOU,3,35,0
Chris Conley,WR,KC,3,35,0
Dontrelle Inman,WR,IND,3,35,0
Tim Patrick,WR,DEN,3,35,0
Josh Reynolds,WR,LAR,2,35,0
Andre Roberts,WR,NYJ,3,35,0
Tre'Quan Smith,WR,NO,3,35,0
Taywan Taylor,WR,TEN,2,35,0
Nelson Agholor,WR,PHI,3,30,0
Michael Crabtree,WR,BAL,3,30,0
Alex Erickson,WR,CIN,2,30,0
Chris Hogan,WR,NE,2,30,0
Breshad Perriman,WR,CLE,2,30,0
Seth Roberts,WR,OAK,2,30,0
John Ross,WR,CIN,3,30,0
Tajae Sharpe,WR,TEN,2,30,0
Willie Snead,WR,BAL,2,30,0
Ryan Switzer,WR,PIT,2,25,0
Michael Thomas,WR,NO,3,30,0
Marcell Ateman,WR,OAK,2,25,0
Corey Coleman,WR,NYG,2,25,0
Rashard Higgins,WR,CLE,2,25,0
T.J. Jones,WR,DET,2,25,0
David Moore,WR,SEA,2,25,0
DeVante Parker,WR,MIA,2,25,0
Demarcus Robinson,WR,KC,2,25,0
Trent Sherfield,WR,ARI,2,25,0
Kenny Stills,WR,MIA,2,25,0
James Washington,WR,PIT,2,25,0
Travis Benjamin,WR,LAC,1,20,0
Keelan Cole,WR,JAX,2,20,0
Zach Pascal,WR,IND,2,20,0
Vyncint Smith,WR,HOU,1,20,0
Chad Williams,WR,ARI,1,20,0
Jarius Wright,WR,CAR,2,20,0
Ryan Grant,WR,IND,1,10,0
Jordan Matthews,WR,PHI,1,10,0
Brandon Powell,WR,DET,1,10,0
