Player,POS,Team,Receptions,Rec Yds,Rec TD
Rob Gronkowski,TE,NE,6,85,1
Travis Kelce,TE,KC,7,75,1
Zach Ertz,TE,PHI,6,65,1
Delanie Walker,TE,TEN,6,65,1
Trey Burton,TE,CHI,5,60,1
Greg Olsen,TE,CAR,5,55,1
Jack Doyle,TE,IND,4,50,1
Tyler Eifert,TE,CIN,4,45,1
Jordan Reed,TE,WAS,5,45,1
Kyle Rudolph,TE,MIN,4,45,1
Jared Cook,TE,OAK,4,40,1
Antonio Gates,TE,LAC,4,40,1
George Kittle,TE,SF,3,40,1
David Njoku,TE,CLE,4,40,1
Ricky Seals-Jones,TE,ARI,4,40,1
Mike Gesicki,TE,MIA,3,35,1
Jimmy Graham,TE,GB,3,35,1
Eric Ebron,TE,IND,4,40,0
Evan Engram,TE,NYG,4,40,0
Austin Seferian-Jenkins,TE,JAX,4,40,0
Cameron Brate,TE,TB,3,35,0
Charles Clay,TE,BUF,3,35,0
Dallas Goedert,TE,PHI,3,35,0
Ryan Griffin,TE,HOU,3,35,0
Austin Hooper,TE,ATL,3,35,0
O.J. Howard,TE,TB,3,35,0
Benjamin Watson,TE,NO,3,35,0
Jake Butt,TE,DEN,3,30,0
Jesse James,TE,PIT,3,30,0
Nick Vannett,TE,SEA,3,30,0
Vernon Davis,TE,WAS,2,25,0
Tyler Higbee,TE,LAR,2,25,0
Luke Willson,TE,DET,2,25,0
Nick Boyle,TE,BAL,2,20,0
Garrett Celek,TE,SF,2,20,0
Virgil Green,TE,LAC,2,20,0
Blake Jarwin,TE,DAL,2,20,0
Jordan Leggett,TE,NYJ,2,20,0
Geoff Swaim,TE,DAL,1,15,0
Jordan Akins,TE,HOU,1,10,0
Dwayne Allen,TE,NE,1,10,0
Gerald Everett,TE,LAR,1,10,0
Chris Herndon,TE,NYJ,1,10,0
Jeff Heuerman,TE,DEN,1,10,0
Lance Kendricks,TE,GB,1,10,0
Tyler Kroft,TE,CIN,1,10,0
