Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Harrison Butker, KC",2.3,2.5,0,2.8,2.8,0.0,9,K
"Stephen Gostkowski, NE",2.2,2.4,0,3.0,3.0,0.0,9,K
"Matt Bryant, ATL",2.1,2.4,0,2.7,2.7,0.0,9,K
"Greg Zuerlein, LAR",2.1,2.3,0,2.4,2.4,0.0,9,K
"Chris Boswell, PIT",2.0,2.2,0,2.6,2.6,0.0,8,K
"Travis Coons, LAC",1.9,2.2,0,2.9,2.9,0.0,8,K
"Wil Lutz, NO",1.8,2.2,0,2.7,2.7,0.0,8,K
"Giorgio Tavecchio, ATL",1.8,2.1,0,2.4,2.4,0.0,8,K
"Jake Elliott, PHI",1.7,2.1,0,2.3,2.3,0.0,7,K
"Phil Dawson, ARI",1.7,2.3,0,2.5,2.5,0.0,7,K
"Matt Prater, DET",1.7,1.9,0,2.2,2.2,0.0,7,K
"Graham Gano, CAR",1.9,2.2,0,1.9,1.9,0.0,7,K
"Justin Tucker, BAL",1.7,1.9,0,2.0,2.0,0.0,7,K
"Ka'imi Fairbairn, HOU",1.7,2.1,0,2.2,2.2,0.0,7,K
"Patrick Murray, TB",1.6,1.8,0,2.3,2.3,0.0,7,K
"Stephen Hauschka, BUF",1.6,1.8,0,2.1,2.1,0.0,7,K
"Brandon McManus, DEN",1.6,2.0,0,2.2,2.2,0.0,7,K
"Robbie Gould, SF",1.7,1.9,0,1.9,1.9,0.0,7,K
"Josh Lambo, JAC",1.7,1.9,0,1.9,1.9,0.0,7,K
"Adam Vinatieri, IND",1.6,1.7,0,2.0,2.0,0.0,7,K
"Kai Forbath, JAC",1.6,1.9,0,1.9,1.9,0.0,7,K
"Randy Bullock, CIN",1.6,1.8,0,2.0,2.0,0.0,6,K
"Dan Bailey, MIN",1.5,1.6,0,2.1,2.1,0.0,6,K
"Ryan Succop, TEN",1.5,1.8,0,2.2,2.2,0.0,6,K
"Chandler Catanzaro, CAR",1.5,1.8,0,2.1,2.1,0.0,6,K
"Nick Rose, LAC",1.4,1.5,0,2.0,2.0,0.0,6,K
"Mason Crosby, GB",1.3,1.6,0,2.2,2.2,0.0,6,K
"Blair Walsh, SEA",1.4,1.8,0,1.7,1.7,0.0,5,K
"Aldrick Rosas, NYG",1.2,1.6,0,1.7,1.7,0.0,5,K
"Zane Gonzalez, ARI",1.1,1.6,0,1.7,1.7,0.0,5,K
"Mike Nugent, OAK",1.0,1.3,0,1.2,1.2,0.0,4,K
"Cody Parkey, CHI",0.8,0.9,0,1.2,1.2,0.0,3,K
"Mike Meyer, JAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Folk, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Connor Barth, CHI",0.0,0.0,0,0.0,0.0,0.0,0,K
"Andrew Franks, MIA",0.0,0.0,0,0.0,0.0,0.0,0,K
"Zach Hocker, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jason Myers, NYJ",0.0,0.0,0,0.0,0.0,0.0,0,K
"Younghoe Koo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jon Brown, CIN",0.0,0.0,0,0.0,0.0,0.0,0,K
"Roberto Aguayo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Marshall Koehn, NYG",0.0,0.0,0,0.0,0.0,0.0,0,K
"Cairo Santos, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
