Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Wil Lutz, NO",2.2,2.6,0,3.4,3.4,0.0,10,K
"Josh Lambo, JAC",2.3,2.6,0,2.8,2.8,0.0,9,K
"Stephen Gostkowski, NE",2.2,2.4,0,2.8,2.8,0.0,9,K
"Robbie Gould, SF",2.2,2.4,0,2.5,2.5,0.0,9,K
"Kai Forbath, JAC",2.2,2.6,0,2.2,2.2,0.0,9,K
"Graham Gano, CAR",2.1,2.3,0,2.7,2.7,0.0,9,K
"Matt Bryant, ATL",2.0,2.3,0,2.7,2.7,0.0,9,K
"Justin Tucker, BAL",2.0,2.3,0,2.7,2.7,0.0,9,K
"Matt Prater, DET",2.0,2.3,0,2.5,2.5,0.0,9,K
"Harrison Butker, KC",2.0,2.2,0,2.5,2.5,0.0,8,K
"Brandon McManus, DEN",1.9,2.3,0,2.2,2.2,0.0,8,K
"Chris Boswell, PIT",1.9,2.0,0,2.3,2.3,0.0,8,K
"Dan Bailey, MIN",1.7,2.0,0,2.7,2.7,0.0,8,K
"Greg Zuerlein, LAR",1.8,2.0,0,2.3,2.3,0.0,7,K
"Phil Dawson, ARI",1.7,2.2,0,2.4,2.4,0.0,7,K
"Mason Crosby, GB",1.6,2.0,0,2.7,2.7,0.0,7,K
"Travis Coons, LAC",1.7,1.9,0,2.4,2.4,0.0,7,K
"Jake Elliott, PHI",1.7,2.0,0,2.1,2.1,0.0,7,K
"Stephen Hauschka, BUF",1.6,1.8,0,2.3,2.3,0.0,7,K
"Giorgio Tavecchio, ATL",1.5,1.9,0,2.4,2.4,0.0,7,K
"Ryan Succop, TEN",1.6,2.0,0,2.3,2.3,0.0,7,K
"Dustin Hopkins, WAS",1.6,1.9,0,2.3,2.3,0.0,7,K
"Blair Walsh, SEA",1.6,2.1,0,2.2,2.2,0.0,7,K
"Adam Vinatieri, IND",1.5,1.7,0,2.0,2.0,0.0,6,K
"Patrick Murray, TB",1.5,1.7,0,1.9,1.9,0.0,6,K
"Ka'imi Fairbairn, HOU",1.5,1.9,0,1.6,1.6,0.0,6,K
"Chandler Catanzaro, CAR",1.3,1.6,0,1.8,1.8,0.0,5,K
"Cody Parkey, CHI",1.2,1.4,0,1.8,1.8,0.0,5,K
"Randy Bullock, CIN",1.1,1.2,0,1.4,1.4,0.0,4,K
"Aldrick Rosas, NYG",1.0,1.3,0,1.5,1.5,0.0,4,K
"Mike Nugent, OAK",1.0,1.2,0,1.5,1.5,0.0,4,K
"Zane Gonzalez, ARI",1.0,1.4,0,1.4,1.4,0.0,4,K
"Mike Meyer, JAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Folk, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Connor Barth, CHI",0.0,0.0,0,0.0,0.0,0.0,0,K
"Andrew Franks, MIA",0.0,0.0,0,0.0,0.0,0.0,0,K
"Zach Hocker, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Rose, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jason Myers, NYJ",0.0,0.0,0,0.0,0.0,0.0,0,K
"Younghoe Koo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jon Brown, CIN",0.0,0.0,0,0.0,0.0,0.0,0,K
"Roberto Aguayo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Marshall Koehn, NYG",0.0,0.0,0,0.0,0.0,0.0,0,K
"Cairo Santos, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
