Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
AJ McCarron,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Aaron Rodgers,GB,264.5,2.0,0.0,14.04,0.0,0.0,0.0,0.0,0.1
Alex Smith,WAS,245.0,1.0,0.0,13.2,0.0,0.0,0.0,0.0,0.06
Alex Tanney,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Andrew Luck,IND,253.1,1.6,0.9,8.19,0.0,0.0,0.0,0.0,0.13
Andy Dalton,CIN,259.0,1.6,0.89,6.59,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,248.4,1.2,0.8,10.3,0.0,0.0,0.0,0.0,0.08
Ben Roethlisberger,PIT,289.5,1.7,0.9,2.3,0.0,0.0,0.0,0.0,0.19
Blaine Gabbert,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Blake Bortles,JAX,229.0,1.4,0.8,18.3,0.0,0.0,0.0,0.0,0.13
Brandon Weeden,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Brett Hundley,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Brian Hoyer,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Brock Osweiler,MIA,14.31,0.03,0.09,0.01,0.0,0.0,0.0,0.0,0.06
C.J. Beathard,SF,231.48,1.2,1.0,10.0,0.0,0.0,0.0,0.0,0.07
Cam Newton,CAR,218.13,1.16,0.8,30.0,0.0,0.0,0.0,0.0,0.13
Carson Wentz,PHI,245.1,1.6,0.7,14.5,0.0,0.0,0.0,0.0,0.22
Case Keenum,DEN,236.0,1.1,0.6,0.0,0.0,0.0,0.0,0.0,0.03
Chad Henne,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Chad Kelly,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Chase Daniel,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Cody Kessler,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Colt McCoy,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Cooper Rush,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Dak Prescott,DAL,169.0,0.9,0.0,20.4,0.0,0.0,0.0,0.0,0.07
DeShone Kizer,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Derek Carr,OAK,261.89,1.0,0.79,2.9,0.0,0.0,0.0,0.0,0.19
Deshaun Watson,HOU,249.2,1.73,0.9,28.4,0.0,0.0,0.0,0.0,0.15
Eli Manning,NYG,245.0,1.1,0.7,1.5,0.0,0.0,0.0,0.0,0.06
Geno Smith,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Jacoby Brissett,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Jameis Winston,TB,284.52,1.75,0.0,5.0,0.0,0.0,0.0,0.0,0.13
Jared Goff,LAR,267.0,1.8,0.7,5.0,0.0,0.0,0.0,0.0,0.04
Jeff Driskel,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Joe Flacco,BAL,242.63,1.2,0.0,3.3,0.0,0.0,0.0,0.0,0.13
Joe Webb,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Allen,BUF,150.0,0.7,0.6,20.0,0.0,0.0,0.0,0.0,0.08
Josh McCown,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Josh Rosen,ARI,175.0,0.9,0.6,7.0,0.0,0.0,0.0,0.0,0.08
Joshua Dobbs,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Kirk Cousins,MIN,264.65,1.6,0.6,9.79,0.0,0.0,0.0,0.0,0.06
Lamar Jackson,BAL,2.5,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.03
Marcus Mariota,TEN,182.0,1.0,0.6,20.0,0.0,0.0,0.0,0.0,0.03
Matt Ryan,ATL,295.7,2.0,0.6,5.0,0.0,0.0,0.0,0.0,0.09
Matt Schaub,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Mike Glennon,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Mitchell Trubisky,CHI,225.0,1.0,0.7,18.8,0.0,0.0,0.0,0.0,0.08
Nathan Peterman,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Nick Foles,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Nick Mullens,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Patrick Mahomes,KC,295.0,1.9,0.0,10.0,0.0,0.0,0.0,0.0,0.07
Philip Rivers,LAC,269.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Russell Wilson,SEA,222.7,1.47,0.0,10.0,0.0,0.0,0.0,0.0,0.09
Ryan Fitzpatrick,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Sam Darnold,NYJ,215.0,1.0,0.9,3.5,0.0,0.0,0.0,0.0,0.07
Sean Mannion,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Taylor Heinicke,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Tom Brady,NE,291.8,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.13
Trevor Siemian,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Tyrod Taylor,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
