Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Fum Rec,Fum Yds,POS
Blake Bortles,JAX,1.0,33.0,20.0,13.0,271.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,35.0,29.0,6.0,376.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,49.0,34.0,15.0,465.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,34.0,22.0,12.0,225.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,-3.0,QB
Kirk Cousins,MIN,1.0,34.0,18.0,16.0,263.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,31.0,21.0,10.0,254.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Fitzpatrick,TB,1.0,31.0,16.0,15.0,174.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,48.0,26.0,22.0,307.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,49.0,30.0,19.0,302.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-5.0,QB
Landry Jones,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Case Keenum,DEN,1.0,32.0,27.0,5.0,321.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,QB
Cody Kessler,JAX,1.0,41.0,26.0,15.0,336.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andrew Luck,IND,1.0,32.0,21.0,11.0,252.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,46.0,32.0,14.0,403.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
EJ Manuel,,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,24.0,17.0,7.0,284.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,7.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,47.0,27.0,20.0,322.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,39.0,25.0,14.0,269.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,27.0,18.0,9.0,247.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,29.0,18.0,11.0,178.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,42.0,31.0,11.0,294.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,34.0,19.0,15.0,189.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,42.0,27.0,15.0,335.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,QB
Trevor Siemian,MIN,1.0,50.0,30.0,20.0,230.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,22.0,19.0,3.0,224.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
