Player,POS,Team,Receptions,Rec Yds,Rec TD
Adam Thielen,WR,MIN,9,110,1
A.J. Green,WR,CIN,8,105,1
Julio Jones,WR,ATL,7,105,1
Tyreek Hill,WR,KC,6,100,1
John Brown,WR,BAL,6,90,1
Brandin Cooks,WR,LAR,6,80,1
Julian Edelman,WR,NE,7,85,1
Mike Evans,WR,TB,7,85,1
Jarvis Landry,WR,CLE,7,85,1
Robert Woods,WR,LAR,7,85,1
Keenan Allen,WR,LAC,7,80,1
Odell Beckham,WR,NYG,6,80,1
Tyler Boyd,WR,CIN,6,80,1
DeAndre Hopkins,WR,HOU,6,80,1
Josh Gordon,WR,NE,6,75,1
T.Y. Hilton,WR,IND,5,75,1
Michael Thomas,WR,NO,6,75,1
Corey Davis,WR,TEN,5,70,1
Stefon Diggs,WR,MIN,5,70,1
Kenny Golladay,WR,DET,5,70,1
Alshon Jeffery,WR,PHI,5,70,1
Emmanuel Sanders,WR,DEN,6,70,1
Devin Funchess,WR,CAR,4,65,1
Marquise Goodwin,WR,SF,5,65,1
Christian Kirk,WR,ARI,5,65,1
Michael Crabtree,WR,BAL,5,60,1
DeSean Jackson,WR,TB,4,60,1
Allen Robinson,WR,CHI,5,60,1
Mohamed Sanu,WR,ATL,4,55,1
Tre'Quan Smith,WR,NO,5,55,1
Jermaine Kearse,WR,NYJ,6,70,0
Keke Coutee,WR,HOU,5,65,0
Chester Rogers,WR,IND,7,65,0
Marvin Jones,WR,DET,4,60,0
Nelson Agholor,WR,PHI,5,55,0
Danny Amendola,WR,MIA,6,55,0
Keelan Cole,WR,JAX,4,55,0
Sammy Watkins,WR,KC,4,55,0
Robby Anderson,WR,NYJ,3,50,0
Antonio Callaway,WR,CLE,4,50,0
Will Fuller,WR,HOU,3,50,0
Taylor Gabriel,WR,CHI,4,50,0
Chris Godwin,WR,TB,4,50,0
Chris Hogan,WR,NE,4,50,0
Dede Westbrook,WR,JAX,3,50,0
Albert Wilson,WR,MIA,3,50,0
Cole Beasley,WR,DAL,4,45,0
Josh Reynolds,WR,LAR,3,45,0
Calvin Ridley,WR,ATL,4,45,0
Sterling Shepard,WR,NYG,4,45,0
Willie Snead,WR,BAL,3,45,0
Kenny Stills,WR,MIA,3,45,0
Taywan Taylor,WR,TEN,3,45,0
Tyrell Williams,WR,LAC,3,45,0
Josh Doctson,WR,WAS,3,40,0
Larry Fitzgerald,WR,ARI,3,40,0
Pierre Garcon,WR,SF,3,40,0
Cameron Meredith,WR,NO,3,40,0
Donte Moncrief,WR,JAX,3,40,0
D.J. Moore,WR,CAR,3,40,0
Mike Williams,WR,LAC,3,40,0
Michael Gallup,WR,DAL,2,35,0
Allen Hurns,WR,DAL,2,35,0
Zay Jones,WR,BUF,3,35,0
Torrey Smith,WR,CAR,2,35,0
Maurice Harris,WR,WAS,2,30,0
Adam Humphries,WR,TB,3,30,0
Zach Pascal,WR,IND,2,30,0
Damion Ratley,WR,CLE,2,30,0
Tajae Sharpe,WR,TEN,2,30,0
Courtland Sutton,WR,DEN,2,30,0
Anthony Miller,WR,CHI,2,25,0
Laquon Treadwell,WR,MIN,2,20,0
Chris Conley,WR,KC,1,15,0
Phillip Dorsett,WR,NE,1,15,0
Jakeem Grant,WR,MIA,1,15,0
Jordan Matthews,WR,PHI,1,15,0
Jarius Wright,WR,CAR,1,15,0
D.J. Chark,WR,JAX,1,10,0
Alex Erickson,WR,CIN,1,10,0
John Ross,WR,CIN,1,10,0
Chad Williams,WR,ARI,1,10,0
J.J. Nelson,WR,ARI,0,5,0
