Player,POS,Team,Receptions,Rec Yds,Rec TD
Zach Ertz,TE,PHI,8,85,1
Travis Kelce,TE,KC,7,75,1
Jared Cook,TE,OAK,5,55,1
Jack Doyle,TE,IND,4,50,1
Greg Olsen,TE,CAR,4,50,1
Trey Burton,TE,CHI,4,45,1
Vance McDonald,TE,PIT,4,45,1
Benjamin Watson,TE,NO,3,40,1
Eric Ebron,TE,IND,2,25,1
O.J. Howard,TE,TB,5,50,0
Jeff Heuerman,TE,DEN,4,45,0
Jordan Reed,TE,WAS,5,45,0
Evan Engram,TE,NYG,4,40,0
Jimmy Graham,TE,GB,4,40,0
Austin Hooper,TE,ATL,4,40,0
Kyle Rudolph,TE,MIN,4,40,0
Ricky Seals-Jones,TE,ARI,4,40,0
Vernon Davis,TE,WAS,3,35,0
James O'Shaughnessy,TE,JAX,3,35,0
Jonnu Smith,TE,TEN,3,35,0
C.J. Uzomah,TE,CIN,3,35,0
Gerald Everett,TE,LAR,2,25,0
Ryan Griffin,TE,HOU,2,25,0
Nick Vannett,TE,SEA,2,25,0
Ed Dickson,TE,SEA,2,20,0
Dallas Goedert,TE,PHI,2,20,0
Hayden Hurst,TE,BAL,2,20,0
Geoff Swaim,TE,DAL,2,20,0
Cameron Brate,TE,TB,1,15,0
Virgil Green,TE,LAC,2,15,0
Jesse James,TE,PIT,1,15,0
Blake Jarwin,TE,DAL,1,15,0
Nick Boyle,TE,BAL,1,10,0
Demetrius Harris,TE,KC,1,10,0
Tyler Higbee,TE,LAR,1,10,0
Lance Kendricks,TE,GB,1,10,0
Luke Willson,TE,DET,1,10,0
Antonio Gates,TE,LAC,1,5,0
