Player,POS,Team,Receptions,Rec Yds,Rec TD
Antonio Brown,WR,PIT,7,110,1
Julio Jones,WR,ATL,8,105,1
Odell Beckham,WR,NYG,7,100,1
DeAndre Hopkins,WR,HOU,8,100,1
Michael Thomas,WR,NO,8,100,1
Tyreek Hill,WR,KC,6,95,1
Emmanuel Sanders,WR,DEN,7,95,1
A.J. Green,WR,CIN,7,90,1
Brandin Cooks,WR,LAR,6,80,1
Jarvis Landry,WR,CLE,7,85,1
JuJu Smith-Schuster,WR,PIT,6,85,1
Adam Thielen,WR,MIN,7,85,1
John Brown,WR,BAL,6,80,1
Will Fuller,WR,HOU,5,80,1
Mike Evans,WR,TB,6,75,1
Kenny Stills,WR,MIA,6,75,1
Davante Adams,WR,GB,4,70,1
Geronimo Allison,WR,GB,6,70,1
T.Y. Hilton,WR,IND,5,70,1
Allen Robinson,WR,CHI,6,70,1
Sterling Shepard,WR,NYG,7,70,1
Corey Davis,WR,TEN,4,65,1
Stefon Diggs,WR,MIN,5,65,1
Kenny Golladay,WR,DET,4,65,1
Mike Williams,WR,LAC,5,65,1
Robert Woods,WR,LAR,5,65,1
Keelan Cole,WR,JAX,5,60,1
Quincy Enunwa,WR,NYJ,5,60,1
Alshon Jeffery,WR,PHI,4,60,1
Tyler Lockett,WR,SEA,4,60,1
Calvin Ridley,WR,ATL,5,55,1
Danny Amendola,WR,MIA,5,50,1
Tyler Boyd,WR,CIN,5,70,0
Ted Ginn,WR,NO,4,50,0
Chris Hogan,WR,NE,5,60,0
Marvin Jones,WR,DET,4,60,0
Doug Baldwin,WR,SEA,5,55,0
Michael Crabtree,WR,BAL,5,55,0
Sammy Watkins,WR,KC,4,55,0
Nelson Agholor,WR,PHI,5,50,0
Larry Fitzgerald,WR,ARI,4,50,0
Marquise Goodwin,WR,SF,4,50,0
DeSean Jackson,WR,TB,3,50,0
Christian Kirk,WR,ARI,4,50,0
Cooper Kupp,WR,LAR,4,50,0
Ryan Grant,WR,IND,4,45,0
Jordy Nelson,WR,OAK,4,45,0
Robby Anderson,WR,NYJ,3,40,0
Cole Beasley,WR,DAL,4,40,0
Antonio Callaway,WR,CLE,3,40,0
Phillip Dorsett,WR,NE,3,40,0
Taylor Gabriel,WR,CHI,3,40,0
Pierre Garcon,WR,SF,3,40,0
Chris Godwin,WR,TB,3,40,0
Dede Westbrook,WR,JAX,2,40,0
Martavis Bryant,WR,OAK,2,35,0
Zay Jones,WR,BUF,3,35,0
Mohamed Sanu,WR,ATL,3,35,0
Courtland Sutton,WR,DEN,3,35,0
Tyrell Williams,WR,LAC,2,35,0
Albert Wilson,WR,MIA,2,35,0
Chris Conley,WR,KC,2,30,0
Michael Gallup,WR,DAL,2,30,0
Rashard Higgins,WR,CLE,2,30,0
Allen Hurns,WR,DAL,2,30,0
Cameron Meredith,WR,NO,2,30,0
Donte Moncrief,WR,JAX,3,30,0
Willie Snead,WR,BAL,2,30,0
Taywan Taylor,WR,TEN,2,30,0
James Washington,WR,PIT,2,30,0
Laquon Treadwell,WR,MIN,2,25,0
Josh Bellamy,WR,CHI,1,20,0
Adam Humphries,WR,TB,2,20,0
Jermaine Kearse,WR,NYJ,2,20,0
Dante Pettis,WR,SF,2,20,0
Chester Rogers,WR,IND,2,20,0
John Ross,WR,CIN,2,20,0
Tajae Sharpe,WR,TEN,1,20,0
Trent Taylor,WR,SF,2,20,0
Tavon Austin,WR,DAL,1,10,0
Tre'Quan Smith,WR,NO,1,15,0
D.J. Chark,WR,JAX,1,10,0
Jakeem Grant,WR,MIA,1,10,0
Justin Hardy,WR,ATL,1,10,0
J.J. Nelson,WR,ARI,1,10,0
Cordarrelle Patterson,WR,NE,1,10,0
Demarcus Robinson,WR,KC,1,10,0
Chad Williams,WR,ARI,1,10,0
