Player,POS,Team,Receptions,Rec Yds,Rec TD
Julio Jones,WR,ATL,8,115,1
Antonio Brown,WR,PIT,8,105,1
DeAndre Hopkins,WR,HOU,8,105,1
Michael Thomas,WR,NO,9,105,1
Davante Adams,WR,GB,7,100,1
JuJu Smith-Schuster,WR,PIT,7,100,1
Adam Thielen,WR,MIN,10,100,1
Keenan Allen,WR,LAC,8,90,1
Mike Evans,WR,TB,8,95,1
Tyreek Hill,WR,KC,6,95,1
Amari Cooper,WR,DAL,7,85,1
Kenny Golladay,WR,DET,6,80,1
T.Y. Hilton,WR,IND,5,80,1
Robert Woods,WR,LAR,6,80,1
Brandin Cooks,WR,LAR,6,75,1
D.J. Moore,WR,CAR,6,65,1
Tyler Boyd,WR,CIN,6,70,1
Stefon Diggs,WR,MIN,5,70,1
Chris Godwin,WR,TB,6,70,1
Larry Fitzgerald,WR,ARI,6,65,1
Tyler Lockett,WR,SEA,4,65,1
Allen Robinson,WR,CHI,5,65,1
Courtland Sutton,WR,DEN,5,65,1
Corey Davis,WR,TEN,4,60,1
DeVante Parker,WR,MIA,5,60,1
Curtis Samuel,WR,CAR,3,40,1
Sterling Shepard,WR,NYG,5,55,1
Golden Tate,WR,PHI,5,50,1
Julian Edelman,WR,NE,6,70,0
Josh Gordon,WR,NE,5,65,0
Jarvis Landry,WR,CLE,5,65,0
Adam Humphries,WR,TB,5,60,0
Alshon Jeffery,WR,PHI,4,60,0
Bruce Ellington,WR,DET,5,55,0
Michael Gallup,WR,DAL,4,55,0
Marquise Goodwin,WR,SF,4,55,0
Dante Pettis,WR,SF,4,55,0
Demaryius Thomas,WR,HOU,4,55,0
Antonio Callaway,WR,CLE,4,50,0
Taylor Gabriel,WR,CHI,4,50,0
Zay Jones,WR,BUF,4,50,0
Calvin Ridley,WR,ATL,4,50,0
Kenny Stills,WR,MIA,4,50,0
Dede Westbrook,WR,JAX,3,50,0
Josh Doctson,WR,WAS,4,45,0
Quincy Enunwa,WR,NYJ,4,45,0
Robert Foster,WR,BUF,3,45,0
David Moore,WR,SEA,4,45,0
John Ross,WR,CIN,4,45,0
Tyrell Williams,WR,LAC,3,45,0
Marcell Ateman,WR,OAK,3,40,0
Chris Conley,WR,KC,3,40,0
Michael Crabtree,WR,BAL,3,40,0
Ryan Grant,WR,IND,3,40,0
DaeSean Hamilton,WR,DEN,3,40,0
Anthony Miller,WR,CHI,3,40,0
Donte Moncrief,WR,JAX,3,40,0
Jordy Nelson,WR,OAK,3,40,0
Josh Reynolds,WR,LAR,3,40,0
Ryan Switzer,WR,PIT,3,35,0
Marquez Valdes-Scantling,WR,GB,3,40,0
Nelson Agholor,WR,PHI,3,35,0
Robby Anderson,WR,NYJ,2,35,0
Maurice Harris,WR,WAS,3,35,0
Mohamed Sanu,WR,ATL,3,35,0
Russell Shepard,WR,NYG,3,35,0
John Brown,WR,BAL,2,30,0
Jamison Crowder,WR,WAS,2,30,0
Devin Funchess,WR,CAR,2,30,0
Rashard Higgins,WR,CLE,2,30,0
Jermaine Kearse,WR,NYJ,2,30,0
Keith Kirkwood,WR,NO,3,30,0
Seth Roberts,WR,OAK,2,30,0
Tajae Sharpe,WR,TEN,2,30,0
Taywan Taylor,WR,TEN,2,30,0
Laquon Treadwell,WR,MIN,3,30,0
Mike Williams,WR,LAC,2,30,0
Cole Beasley,WR,DAL,2,25,0
Kendrick Bourne,WR,SF,2,25,0
Corey Coleman,WR,NYG,2,25,0
Chris Hogan,WR,NE,2,25,0
T.J. Jones,WR,DET,2,25,0
Isaiah McKenzie,WR,BUF,2,25,0
Tim Patrick,WR,DEN,2,25,0
Demarcus Robinson,WR,KC,2,25,0
Tre'Quan Smith,WR,NO,2,25,0
Equanimeous St. Brown,WR,GB,2,25,0
Travis Benjamin,WR,LAC,1,20,0
Randall Cobb,WR,GB,2,20,0
Keelan Cole,WR,JAX,2,20,0
Breshad Perriman,WR,CLE,2,20,0
Willie Snead,WR,BAL,1,20,0
Jordan Matthews,WR,PHI,1,10,0
Torrey Smith,WR,CAR,1,10,0
Jarius Wright,WR,CAR,1,10,0
