Player,POS,Team,Receptions,Rec Yds,Rec TD
Travis Kelce,TE,KC,7,75,1
Jared Cook,TE,OAK,6,65,1
David Njoku,TE,CLE,6,65,1
George Kittle,TE,SF,5,60,1
Kyle Rudolph,TE,MIN,5,55,1
Jimmy Graham,TE,GB,4,50,1
O.J. Howard,TE,TB,4,45,1
Vance McDonald,TE,PIT,4,45,1
Greg Olsen,TE,CAR,4,45,1
Trey Burton,TE,CHI,4,50,0
Jordan Reed,TE,WAS,6,50,0
Austin Hooper,TE,ATL,4,40,0
Chris Herndon,TE,NYJ,3,30,0
Benjamin Watson,TE,NO,2,30,0
Charles Clay,TE,BUF,2,25,0
Vernon Davis,TE,WAS,2,25,0
Gerald Everett,TE,LAR,2,25,0
Blake Jarwin,TE,DAL,2,25,0
Ed Dickson,TE,SEA,2,20,0
Antonio Gates,TE,LAC,2,20,0
Mike Gesicki,TE,MIA,2,20,0
Ryan Griffin,TE,HOU,2,20,0
Jeff Heuerman,TE,DEN,2,20,0
Hayden Hurst,TE,BAL,2,20,0
Nick Vannett,TE,SEA,2,20,0
Jonnu Smith,TE,TEN,1,15,0
Jordan Thomas,TE,HOU,1,15,0
Nick Boyle,TE,BAL,1,10,0
Cameron Brate,TE,TB,1,10,0
Garrett Celek,TE,SF,1,10,0
Demetrius Harris,TE,KC,1,10,0
Jesse James,TE,PIT,1,10,0
Lance Kendricks,TE,GB,1,10,0
Luke Willson,TE,DET,1,10,0
Tyler Higbee,TE,LAR,0,5,0
