Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Los Angeles Chargers,DST,LAC,19.5,311.0,1.0,0.6,3.0,0.0,0.0,0.2
Jacksonville Jaguars,DST,JAX,19.0,321.0,1.0,0.6,3.0,0.1,0.0,0.30000000000000004
Indianapolis Colts,DST,IND,18.3,292.0,1.0,0.7,3.2,0.0,0.0,0.1
Los Angeles Rams,DST,LAR,21.3,367.0,1.0,0.5,3.0,0.1,0.0,0.4
Philadelphia Eagles,DST,PHI,20.0,362.0,0.9,0.6,2.6,0.1,0.1,0.2
Arizona Cardinals,DST,ARI,21.8,367.0,0.8,0.5,2.6,0.1,0.0,0.30000000000000004
Minnesota Vikings,DST,MIN,20.8,325.0,0.9,0.5,2.8,0.1,0.0,0.30000000000000004
Houston Texans,DST,HOU,22.5,335.0,0.9,0.6,3.0,0.1,0.0,0.2
Detroit Lions,DST,DET,22.5,289.0,0.9,0.6,2.4,0.0,0.1,0.2
Dallas Cowboys,DST,DAL,20.0,333.0,0.9,0.6,2.9,0.0,0.0,0.0
Chicago Bears,DST,CHI,25.5,393.0,0.7,0.5,2.6,0.0,0.1,0.30000000000000004
Washington Redskins,DST,WAS,20.5,351.0,0.8,0.5,2.5,0.0,0.0,0.2
Baltimore Ravens,DST,BAL,23.3,402.0,0.9,0.6,2.8,0.1,0.0,0.1
New England Patriots,DST,NE,24.0,401.0,0.8,0.5,2.6,0.1,0.1,0.1
Tampa Bay Buccaneers,DST,TB,24.5,377.0,0.7,0.6,2.6,0.0,0.1,0.2
Miami Dolphins,DST,MIA,24.5,397.0,0.7,0.5,2.2,0.0,0.0,0.2
Denver Broncos,DST,DEN,20.8,296.0,0.7,0.5,2.5,0.0,0.1,0.30000000000000004
New York Jets,DST,NYJ,24.3,399.0,0.9,0.6,2.4,0.0,0.0,0.1
New Orleans Saints,DST,NO,25.8,391.0,0.8,0.5,2.4,0.0,0.0,0.2
Buffalo Bills,DST,BUF,25.3,368.0,0.8,0.4,2.2,0.0,0.0,0.2
Atlanta Falcons,DST,ATL,24.3,384.0,0.7,0.6,2.3,0.0,0.0,0.1
Tennessee Titans,DST,TEN,26.0,379.0,0.6,0.4,1.9,0.0,0.1,0.30000000000000004
Cleveland Browns,DST,CLE,28.0,409.0,0.7,0.5,2.4,0.0,0.0,0.2
Carolina Panthers,DST,CAR,25.0,371.0,0.8,0.5,2.5,0.0,0.1,0.1
Kansas City Chiefs,DST,KC,25.0,380.0,0.8,0.6,2.4,0.0,0.0,0.1
Cincinnati Bengals,DST,CIN,31.0,434.0,0.7,0.4,2.1,0.0,0.1,0.2
New York Giants,DST,NYG,28.3,428.0,0.6,0.4,1.6,0.0,0.1,0.30000000000000004
San Francisco 49ers,DST,SF,30.3,430.0,0.6,0.4,1.9,0.0,0.0,0.1
Green Bay Packers,DST,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pittsburgh Steelers,DST,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seattle Seahawks,DST,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland Raiders,DST,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
