Player,POS,Team,Receptions,Rec Yds,Rec TD
Tyreek Hill,WR,KC,7,110,1
DeAndre Hopkins,WR,HOU,8,110,1
Adam Thielen,WR,MIN,10,110,1
Antonio Brown,WR,PIT,7,100,1
Michael Thomas,WR,NO,8,100,1
Odell Beckham,WR,NYG,7,95,1
Brandin Cooks,WR,LAR,7,90,1
Mike Evans,WR,TB,7,90,1
Julio Jones,WR,ATL,6,90,1
Emmanuel Sanders,WR,DEN,7,85,1
Davante Adams,WR,GB,6,85,1
Keenan Allen,WR,LAC,7,85,1
Kenny Golladay,WR,DET,6,85,1
D.J. Moore,WR,CAR,7,80,1
Robert Woods,WR,LAR,7,85,1
Amari Cooper,WR,DAL,6,80,1
JuJu Smith-Schuster,WR,PIT,6,80,1
Corey Davis,WR,TEN,6,75,1
Julian Edelman,WR,NE,6,75,1
T.Y. Hilton,WR,IND,5,70,1
Alshon Jeffery,WR,PHI,5,70,1
Tyler Lockett,WR,SEA,5,70,1
Tyler Boyd,WR,CIN,5,65,1
Stefon Diggs,WR,MIN,4,60,1
David Moore,WR,SEA,5,55,1
Allen Robinson,WR,CHI,4,55,1
Curtis Samuel,WR,CAR,3,45,1
Mike Williams,WR,LAC,4,45,1
A.J. Green,WR,CIN,6,75,0
Chris Godwin,WR,TB,5,65,0
Josh Gordon,WR,NE,5,65,0
Adam Humphries,WR,TB,6,65,0
Larry Fitzgerald,WR,ARI,5,60,0
DeVante Parker,WR,MIA,5,55,0
Calvin Ridley,WR,ATL,5,55,0
Sterling Shepard,WR,NYG,5,55,0
Marquez Valdes-Scantling,WR,GB,5,55,0
Dede Westbrook,WR,JAX,3,55,0
Josh Doctson,WR,WAS,4,50,0
Bruce Ellington,WR,DET,5,50,0
Dontrelle Inman,WR,IND,4,50,0
Jarvis Landry,WR,CLE,4,50,0
Dante Pettis,WR,SF,4,50,0
Golden Tate,WR,PHI,4,45,0
Demaryius Thomas,WR,HOU,4,50,0
Marcell Ateman,WR,OAK,3,45,0
Doug Baldwin,WR,SEA,4,45,0
Antonio Callaway,WR,CLE,4,45,0
Chris Conley,WR,KC,4,45,0
Michael Crabtree,WR,BAL,4,45,0
Quincy Enunwa,WR,NYJ,4,45,0
Zay Jones,WR,BUF,4,45,0
Donte Moncrief,WR,JAX,4,45,0
Josh Reynolds,WR,LAR,3,45,0
Kenny Stills,WR,MIA,3,45,0
Courtland Sutton,WR,DEN,3,45,0
Travis Benjamin,WR,LAC,3,40,0
Kendrick Bourne,WR,SF,3,40,0
Taylor Gabriel,WR,CHI,3,40,0
Michael Gallup,WR,DAL,3,40,0
Christian Kirk,WR,ARI,3,40,0
Jordy Nelson,WR,OAK,3,40,0
Mohamed Sanu,WR,ATL,3,40,0
Tre'Quan Smith,WR,NO,3,40,0
Robby Anderson,WR,NYJ,2,35,0
Seth Roberts,WR,OAK,3,35,0
Willie Snead,WR,BAL,2,35,0
Ryan Switzer,WR,PIT,2,30,0
Nelson Agholor,WR,PHI,3,30,0
Cole Beasley,WR,DAL,3,30,0
Devin Funchess,WR,CAR,2,30,0
Rashard Higgins,WR,CLE,2,30,0
T.J. Jones,WR,DET,3,30,0
Equanimeous St. Brown,WR,GB,3,30,0
Laquon Treadwell,WR,MIN,3,30,0
John Brown,WR,BAL,2,25,0
Robert Foster,WR,BUF,2,25,0
Chris Hogan,WR,NE,2,25,0
Jermaine Kearse,WR,NYJ,2,25,0
Keith Kirkwood,WR,NO,2,25,0
Anthony Miller,WR,CHI,2,25,0
Demarcus Robinson,WR,KC,2,25,0
Tajae Sharpe,WR,TEN,2,25,0
Jamison Crowder,WR,WAS,2,20,0
Ryan Grant,WR,IND,2,20,0
DaeSean Hamilton,WR,DEN,1,20,0
Maurice Harris,WR,WAS,2,20,0
J.J. Nelson,WR,ARI,2,20,0
Breshad Perriman,WR,CLE,2,20,0
John Ross,WR,CIN,2,20,0
Randall Cobb,WR,GB,1,15,0
Keelan Cole,WR,JAX,1,10,0
Dwayne Harris,WR,OAK,1,10,0
Allen Hurns,WR,DAL,1,10,0
Jordan Matthews,WR,PHI,1,10,0
Torrey Smith,WR,CAR,1,10,0
