Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Status
Adam Thielen,WR,MIN,0.0,0.0,0.0,1.5,0.0,8.4,105.8,0.7, 
Julio Jones,WR,ATL,0.0,0.0,0.0,0.7,0.0,6.9,98.3,0.5, 
Tyreek Hill,WR,KC,0.0,0.0,0.0,10.0,0.0,5.4,82.8,0.7, 
Davante Adams,WR,GB,0.0,0.0,0.0,0.0,0.0,6.5,88.1,0.6,Q
Antonio Brown,WR,PIT,0.0,0.0,0.0,0.0,0.0,6.8,84.5,0.5, 
DeAndre Hopkins,WR,HOU,0.0,0.0,0.0,1.9,0.0,6.0,84.8,0.6,Q
Michael Thomas,WR,NO,0.0,0.0,0.0,0.0,0.0,6.7,81.5,0.5, 
Mike Evans,WR,TB,0.0,0.0,0.0,0.0,0.0,5.5,82.0,0.5, 
JuJu Smith-Schuster,WR,PIT,0.0,0.0,0.0,0.0,0.0,6.1,76.7,0.5, 
Robert Woods,WR,LAR,0.0,0.0,0.0,6.6,0.0,5.4,74.0,0.5, 
Keenan Allen,WR,LAC,0.0,0.0,0.0,0.0,0.0,6.0,73.0,0.5, 
Cooper Kupp,WR,LAR,0.0,0.0,0.0,4.9,0.0,5.3,70.4,0.5,IR
Jarvis Landry,WR,CLE,0.0,0.0,0.0,0.0,0.0,6.0,70.2,0.5, 
Emmanuel Sanders,WR,DEN,0.0,0.0,0.0,2.4,0.0,5.4,69.5,0.3,IR
Brandin Cooks,WR,LAR,0.0,0.0,0.0,2.3,0.0,4.4,70.5,0.5, 
Julian Edelman,WR,NE,0.0,0.0,0.0,3.5,0.0,4.9,55.4,0.5, 
Kenny Golladay,WR,DET,0.0,0.0,0.0,0.0,0.0,4.7,67.2,0.4,Q
Devin Funchess,WR,CAR,0.0,0.0,0.0,0.0,0.0,4.5,57.3,0.6, 
Marvin Jones,WR,DET,0.0,0.0,0.0,0.0,0.0,4.2,64.4,0.5,IR
Sammy Watkins,WR,KC,0.0,0.0,0.0,4.8,0.0,4.5,55.9,0.5, 
Josh Gordon,WR,NE,0.0,0.0,0.0,0.0,0.0,3.8,57.4,0.5,SSPD
Michael Crabtree,WR,BAL,0.0,0.0,0.0,0.0,0.0,4.7,55.2,0.4, 
John Brown,WR,BAL,0.0,0.0,0.0,1.5,0.0,3.6,56.9,0.4, 
Randall Cobb,WR,GB,0.0,0.0,0.0,1.3,0.0,4.5,50.9,0.3, 
Doug Baldwin,WR,SEA,0.0,0.0,0.0,0.0,0.0,3.9,50.6,0.4, 
Courtland Sutton,WR,DEN,0.0,0.0,0.0,0.0,0.0,3.8,55.9,0.3, 
Demaryius Thomas,WR,HOU,0.0,0.0,0.0,0.0,0.0,4.0,50.5,0.4,IR
Taylor Gabriel,WR,CHI,0.0,0.0,0.0,5.0,0.0,3.9,49.7,0.3, 
Willie Snead,WR,BAL,0.0,0.0,0.0,0.8,0.0,4.4,49.6,0.3, 
D.J. Moore,WR,CAR,0.0,0.0,0.0,5.1,0.0,3.5,45.7,0.3, 
Amari Cooper,WR,DAL,0.0,0.0,0.0,1.7,0.0,3.8,50.6,0.3, 
Corey Davis,WR,TEN,0.0,0.0,0.0,0.0,0.0,4.2,50.4,0.2, 
Mohamed Sanu,WR,ATL,0.0,0.0,0.0,0.6,0.0,4.0,47.9,0.3, 
Marquez Valdes-Scantling,WR,GB,0.0,0.0,0.0,0.0,0.0,3.4,49.1,0.3, 
DeSean Jackson,WR,TB,0.0,0.0,0.0,3.9,0.0,2.9,51.9,0.3,Q
Chris Godwin,WR,TB,0.0,0.0,0.0,0.0,0.0,3.6,45.2,0.4, 
Cordarrelle Patterson,WR,NE,0.0,0.0,0.0,49.8,0.4,1.0,10.2,0.1, 
Jordy Nelson,WR,OAK,0.0,0.0,0.0,0.0,0.0,3.7,47.5,0.3, 
Calvin Ridley,WR,ATL,0.0,0.0,0.0,2.6,0.0,3.5,46.5,0.3, 
DeVante Parker,WR,MIA,0.0,0.0,0.0,0.0,0.0,3.3,46.7,0.4, 
Danny Amendola,WR,MIA,0.0,0.0,0.0,0.0,0.0,4.1,43.1,0.3, 
Cole Beasley,WR,DAL,0.0,0.0,0.0,0.0,0.0,4.0,44.8,0.2, 
Tyler Lockett,WR,SEA,0.0,0.0,0.0,3.2,0.0,3.0,43.9,0.3, 
Tre'Quan Smith,WR,NO,0.0,0.0,0.0,0.0,0.0,3.2,46.1,0.3, 
Aldrick Robinson,WR,MIN,0.0,0.0,0.0,0.0,0.0,3.1,44.2,0.3, 
Marquise Goodwin,WR,SF,0.0,0.0,0.0,5.0,0.0,2.9,46.9,0.2,Q
Laquon Treadwell,WR,MIN,0.0,0.0,0.0,0.0,0.0,3.5,38.8,0.3, 
Antonio Callaway,WR,CLE,0.0,0.0,0.0,3.1,0.0,3.0,41.6,0.3, 
Anthony Miller,WR,CHI,0.0,0.0,0.0,0.0,0.0,3.2,40.9,0.3,Q
Adam Humphries,WR,TB,0.0,0.0,0.0,1.3,0.0,3.6,40.2,0.2, 
Paul Richardson,WR,WAS,0.0,0.0,0.0,3.6,0.0,2.9,41.6,0.2,IR
Jermaine Kearse,WR,NYJ,0.0,0.0,0.0,0.0,0.0,3.3,39.0,0.3,Q
