Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Arizona Cardinals,DST,ARI,18.8,305.0,1.0,0.6,3.1,0.1,0.0,0.30000000000000004
Los Angeles Chargers,DST,LAC,19.8,336.0,1.0,0.6,3.2,0.0,0.0,0.2
Baltimore Ravens,DST,BAL,18.5,330.0,0.9,0.6,2.9,0.1,0.0,0.2
Houston Texans,DST,HOU,19.3,314.0,0.8,0.5,2.6,0.1,0.0,0.30000000000000004
Pittsburgh Steelers,DST,PIT,21.3,370.0,0.9,0.6,2.8,0.1,0.1,0.2
New York Giants,DST,NYG,25.5,378.0,1.0,0.6,2.5,0.0,0.1,0.30000000000000004
New Orleans Saints,DST,NO,24.8,387.0,0.9,0.6,2.8,0.0,0.0,0.2
Chicago Bears,DST,CHI,22.0,386.0,0.9,0.5,2.6,0.0,0.1,0.30000000000000004
Washington Redskins,DST,WAS,22.3,362.0,0.9,0.6,2.9,0.0,0.0,0.2
Atlanta Falcons,DST,ATL,23.0,376.0,0.9,0.6,2.7,0.0,0.0,0.1
Minnesota Vikings,DST,MIN,21.5,382.0,0.8,0.5,2.5,0.1,0.0,0.30000000000000004
Seattle Seahawks,DST,SEA,23.5,363.0,0.8,0.6,2.4,0.1,0.1,0.1
Tennessee Titans,DST,TEN,25.0,395.0,0.7,0.5,2.4,0.0,0.1,0.2
Carolina Panthers,DST,CAR,23.8,375.0,1.0,0.6,2.9,0.0,0.1,0.1
Cincinnati Bengals,DST,CIN,25.0,333.0,0.8,0.5,2.4,0.0,0.1,0.1
Green Bay Packers,DST,GB,25.5,414.0,0.8,0.6,2.4,0.0,0.0,0.1
Indianapolis Colts,DST,IND,24.5,355.0,1.1,0.5,3.0,0.0,0.0,0.1
Detroit Lions,DST,DET,25.3,392.0,0.8,0.6,2.3,0.0,0.1,0.1
Dallas Cowboys,DST,DAL,26.5,406.0,0.8,0.5,2.3,0.0,0.0,0.1
Jacksonville Jaguars,DST,JAX,25.8,406.0,0.8,0.5,2.1,0.1,0.0,0.30000000000000004
Oakland Raiders,DST,OAK,22.3,353.0,0.8,0.6,2.5,0.1,0.0,0.1
Tampa Bay Buccaneers,DST,TB,28.5,395.0,0.7,0.5,2.4,0.0,0.1,0.2
Denver Broncos,DST,DEN,26.8,427.0,0.6,0.4,2.0,0.0,0.1,0.30000000000000004
Philadelphia Eagles,DST,PHI,32.3,488.0,0.6,0.4,1.8,0.0,0.1,0.1
Los Angeles Rams,DST,LAR,30.0,468.0,0.7,0.4,2.1,0.0,0.0,0.1
Kansas City Chiefs,DST,KC,33.0,484.0,0.7,0.4,2.0,0.0,0.0,0.1
Buffalo Bills,DST,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Francisco 49ers,DST,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York Jets,DST,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New England Patriots,DST,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miami Dolphins,DST,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland Browns,DST,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
