Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Matt Bryant, ATL",2.2,2.5,0,3.0,3.0,0.0,9,K
"Kai Forbath, JAC",2.2,2.4,0,2.8,2.8,0.0,9,K
"Brandon McManus, DEN",2.2,2.5,0,2.7,2.7,0.0,9,K
"Stephen Gostkowski, NE",2.2,2.5,0,2.7,2.7,0.0,9,K
"Ka'imi Fairbairn, HOU",2.3,2.8,0,2.4,2.4,0.0,9,K
"Dustin Hopkins, WAS",2.1,2.6,0,2.7,2.7,0.0,9,K
"Chris Boswell, PIT",2.0,2.3,0,2.9,2.9,0.0,9,K
"Dan Bailey, MIN",2.0,2.3,0,2.5,2.5,0.0,8,K
"Graham Gano, CAR",1.9,2.4,0,2.7,2.7,0.0,8,K
"Giorgio Tavecchio, ATL",1.9,2.2,0,2.7,2.7,0.0,8,K
"Mason Crosby, GB",1.8,2.1,0,2.7,2.7,0.0,8,K
"Caleb Sturgis, LAC",1.9,2.3,0,2.3,2.3,0.0,8,K
"Justin Tucker, BAL",1.9,2.1,0,1.8,1.8,0.0,7,K
"Phil Dawson, ARI",1.6,1.9,0,2.7,2.7,0.0,7,K
"Matt Prater, DET",1.6,1.8,0,2.2,2.2,0.0,7,K
"Stephen Hauschka, BUF",1.5,1.7,0,2.8,2.8,0.0,7,K
"Greg Zuerlein, LAR",1.7,2.1,0,2.1,2.1,0.0,7,K
"Wil Lutz, NO",1.6,1.9,0,2.3,2.3,0.0,7,K
"Randy Bullock, CIN",1.6,1.8,0,2.2,2.2,0.0,7,K
"Adam Vinatieri, IND",1.4,1.6,0,2.3,2.3,0.0,6,K
"Ryan Succop, TEN",1.4,1.6,0,2.4,2.4,0.0,6,K
"Chandler Catanzaro, CAR",1.5,1.9,0,1.8,1.8,0.0,6,K
"Blair Walsh, SEA",1.5,1.9,0,1.7,1.7,0.0,6,K
"Robbie Gould, SF",1.4,1.5,0,2.0,2.0,0.0,6,K
"Connor Barth, CHI",1.4,1.7,0,2.0,2.0,0.0,6,K
"Younghoe Koo, LAC",1.4,1.7,0,1.9,1.9,0.0,6,K
"Aldrick Rosas, NYG",1.4,1.7,0,1.8,1.8,0.0,6,K
"Cairo Santos, TB",1.4,1.6,0,1.7,1.7,0.0,5,K
"Jason Myers, NYJ",1.3,1.6,0,1.6,1.6,0.0,5,K
"Zane Gonzalez, ARI",1.1,1.3,0,1.4,1.4,0.0,4,K
"Mike Meyer, JAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Rose, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Mike Nugent, OAK",0.0,0.0,0,0.0,0.0,0.0,0,K
"Josh Lambo, JAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jake Elliott, PHI",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Novak, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Patrick Murray, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jon Brown, CIN",0.0,0.0,0,0.0,0.0,0.0,0,K
"Roberto Aguayo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Marshall Koehn, NYG",0.0,0.0,0,0.0,0.0,0.0,0,K
"Harrison Butker, KC",0.0,0.0,0,0.0,0.0,0.0,0,K
